Part Number,Finish,Length,Units,List Price,Page Number(s)
AS-0411,Clear,,1 pc.,392.0,"C2-14, C3-4, C3-22, C3-30"
AS-0411,Bronze,,1 pc.,396.0,"C2-14, C3-4, C3-22, C3-30"
AS-0411,Paint,,1 pc.,566.0,"C2-14, C3-4, C3-22, C3-30"
AS-0412,Clear,,1 pc.,509.0,"C2-14, C3-4, C3-30"
AS-0412,Bronze,,1 pc.,513.0,"C2-14, C3-4, C3-30"
AS-0412,Paint,,1 pc.,762.0,"C2-14, C3-4, C3-30"
AS-0417,Clear,21’ - 7”,1 pc.,108.0,"C2-6, D7-6, D7-10, E2-4, E2-16, E2-29, E2-40, E3-5, E4-5, E5-3, E5-9, E5-16"
AS-0417,Bronze,21’ - 7”,1 pc.,110.0,"C2-6, D7-6, D7-10, E2-4, E2-16, E2-29, E2-40, E3-5, E4-5, E5-3, E5-9, E5-16"
AS-0417,Paint,21’ - 7”,1 pc.,170.0,"C2-6, D7-6, D7-10, E2-4, E2-16, E2-29, E2-40, E3-5, E4-5, E5-3, E5-9, E5-16"
AS-0421,Clear,21’ - 7”,1 pc.,384.0,C2-6
AS-0421,Bronze,21’ - 7”,1 pc.,387.0,C2-6
AS-0421,Paint,21’ - 7”,1 pc.,587.0,C2-6
AS-0425,Clear,24’ - 0”,1 pc.,419.0,C2-6
AS-0425,Bronze,24’ - 0”,1 pc.,420.0,C2-6
AS-0425,Paint,24’ - 0”,1 pc.,600.0,C2-6
AS-0426,Clear,24’ - 0”,1 pc.,503.0,"C2-14, C3-4, C3-30"
AS-0426,Bronze,24’ - 0”,1 pc.,507.0,"C2-14, C3-4, C3-30"
AS-0426,Paint,24’ - 0”,1 pc.,665.0,"C2-14, C3-4, C3-30"
AS-0441,Clear,24’ - 0”,1 pc.,189.0,E2-16
AS-0441,Bronze,24’ - 0”,1 pc.,203.0,E2-16
AS-0441,Paint,24’ - 0”,1 pc.,287.0,E2-16
AS-0451,Clear,22’ - 0”,1 pc.,375.0,"C1-4, C1-8, C7-3"
AS-0451,Bronze,22’ - 0”,1 pc.,408.0,"C1-4, C1-8, C7-3"
AS-0451,Paint,22’ - 0”,1 pc.,567.0,"C1-4, C1-8, C7-3"
AS-0452,Clear,24’ - 0”,1 pc.,432.0,"C1-4, C1-8, C7-3"
AS-0452,Bronze,24’ - 0”,1 pc.,456.0,"C1-4, C1-8, C7-3"
AS-0452,Paint,24’ - 0”,1 pc.,689.0,"C1-4, C1-8, C7-3"
AS-0456,Clear,24’ - 0”,1 pc.,375.0,"C1-4, C1-9, C7-4"
AS-0456,Bronze,24’ - 0”,1 pc.,405.0,"C1-4, C1-9, C7-4"
AS-0456,Paint,24’ - 0”,1 pc.,624.0,"C1-4, C1-9, C7-4"
AS-0457,Clear,21’ - 7”,1 pc.,119.0,C1-4
AS-0457,Bronze,21’ - 7”,1 pc.,120.0,C1-4
AS-0457,Paint,21’ - 7”,1 pc.,189.0,C1-4
AS-0458,Clear,24’ - 0”,1 pc.,126.0,"C3-5, E2-5, E2-16, E2-29, E2-40, E4-6"
AS-0458,Bronze,24’ - 0”,1 pc.,129.0,"C3-5, E2-5, E2-16, E2-29, E2-40, E4-6,"
AS-0458,Paint,24’ - 0”,1 pc.,152.0,"C3-5, E2-5, E2-16, E2-29, E2-40, E4-6"
AS-0466,Clear,24’ - 0”,1 pc.,812.0,"C2-15, C3-5, C3-31"
AS-0466,Bronze,24’ - 0”,1 pc.,800.0,"C2-15, C3-5, C3-31"
AS-0466,Paint,24’ - 0”,1 pc.,951.0,"C2-15, C3-5, C3-31"
AS-0467,Clear,24’ - 0”,1 pc.,780.0,"C2-15, C3-5, C3-31, E2-4, E2-16, E2-29, E2-40, E4-5"
AS-0467,Bronze,24’ - 0”,1 pc.,809.0,"C2-15, C3-5, C3-31, E2-4, E2-16, E2-29, E2-40, E4-5"
AS-0467,Paint,24’ - 0”,1 pc.,1049.0,"C2-15, C3-5, C3-31, E2-4, E2-16, E2-29, E2-40, E4-5"
AS-0471,Clear,22’ - 0”,1 pc.,674.0,C5-6
Index-50,,,,,
AS-0471,Bronze,22’ - 0”,1 pc.,689.0,C5-6
AS-0471,Paint,22’ - 0”,1 pc.,960.0,C5-6
AS-0472,Clear,24’ - 0”,1 pc.,608.0,C5-6
AS-0472,Bronze,24’ - 0”,1 pc.,668.0,C5-6
AS-0472,Paint,24’ - 0”,1 pc.,843.0,C5-6
AS-0474,Clear,24’ - 0”,1 pc.,590.0,C5-6
AS-0474,Bronze,24’ - 0”,1 pc.,593.0,C5-6
AS-0474,Paint,24’ - 0”,1 pc.,894.0,C5-6
AS-0477,Clear,24’ - 0”,1 pc.,501.0,"C5-6, C7-3, D4-4"
AS-0477,Bronze,24’ - 0”,1 pc.,518.0,"C5-6, C7-3, D4-4"
AS-0477,Paint,24’ - 0”,1 pc.,723.0,"C5-6, C7-3, D4-4"
AS-0478,Clear,24’ - 0”,1 pc.,467.0,"C5-6, C7-4"
AS-0478,Bronze,24’ - 0”,1 pc.,480.0,"C5-6, C7-4"
AS-0478,Paint,24’ - 0”,1 pc.,674.0,"C5-6, C7-4"
AS-0479,Clear,22’ - 0”,1 pc.,497.0,"C5-6, C7-3"
AS-0479,Bronze,22’ - 0”,1 pc.,513.0,"C5-6, C7-3"
AS-0479,Paint,22’ - 0”,1 pc.,717.0,"C5-6, C7-3"
AS-0487,Mill,24’ - 0”,1 pc.,246.0,"F1-4, F1-10, F1-17"
AS-0488,Clear,24’ - 0”,1 pc.,491.0,C3-14
AS-0488,Bronze,24’ - 0”,1 pc.,495.0,C3-14
AS-0488,Paint,24’ - 0”,1 pc.,744.0,C3-14
AS-0501,Clear,24’ - 0”,1 pc.,819.0,"F1-4, F3-11, F5-4"
AS-0501,Bronze,24’ - 0”,1 pc.,851.0,"F1-4, F3-11, F5-4"
AS-0501,Paint,24’ - 0”,1 pc.,923.0,"F1-4, F3-11, F5-4"
AS-0503,Mill,24’ - 0”,1 pc.,167.0,"F1-4, F1-10, F1-18"
AS-0504,Clear,22’ - 2”,1 pc.,810.0,"F1-4, F1-10, F1-17"
AS-0504,Bronze,22’ - 2”,1 pc.,842.0,"F1-4, F1-10, F1-17"
AS-0504,Paint,22’ - 2”,1 pc.,963.0,"F1-4, F1-10, F1-17"
AS-0517,Clear,24’ - 0”,1 pc.,830.0,"F1-10, F1-18"
AS-0517,Bronze,24’ - 0”,1 pc.,854.0,"F1-10, F1-18"
AS-0517,Paint,24’ - 0”,1 pc.,1127.0,"F1-10, F1-18"
AS-0520,Clear,24’ - 0”,1 pc.,657.0,F1-4
AS-0520,Bronze,24’ - 0”,1 pc.,677.0,F1-4
